state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_AL,enrollmetric,pp_stloc_raw_AL,pp_fed_raw_AL,pp_total_raw_AL,pp_site_stloc_raw_AL,pp_site_fed_raw_AL,pp_site_raw_AL,pp_centshare_stloc_raw_AL,pp_centshare_fed_raw_AL,pp_centshare_raw_AL,schoolstloc_raw_AL,schoolfed_raw_AL,schooltot_raw_AL,pp_total_norm_NERDS,pp_centshare_loc_raw_AL,pp_centshare_st_raw_AL,pp_site_loc_raw_AL,pp_site_st_raw_AL,pp_total_loc_raw_AL,pp_total_st_raw_AL,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
AL,2018-2019,AL-114,AL-114-0095,BIRMINGHAM CITY,GEORGE WASHINGTON CARVER HIGH SCHOOL,100390,100390,1503700200000.0,10039001468,760.0,09-12,4,760.0,Fall ADA,12334,2268,14794,7822.0,1615.0,9626,4512.0,654.0,5168.0,9373840.0,1723680.0,11243440.0,14808.79471,3459.0,1053.0,1780.0,6042.0,5239,7095,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0270,BIRMINGHAM CITY,GLEN IRIS ELEMENTARY SCHOOL,100390,100390,1503700200000.0,10039001484,724.0,PK-05,2,724.0,Fall ADA,8377,1538,9950,6466.0,1202.0,7700,1911.0,336.0,2250.0,6064948.0,1113512.0,7203800.0,9967.867653,1074.0,837.0,806.0,5660.0,1879,6498,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0320,BIRMINGHAM CITY,GREEN ACRES MIDDLE SCHOOL,100390,100390,1503700200000.0,10039000133,364.0,06-08,3,364.0,Fall ADA,8911,5618,14583,6706.0,2874.0,9630,2205.0,2744.0,4952.0,3243604.0,2044952.0,5308212.0,14597.92857,1308.0,897.0,1425.0,5281.0,2733,6178,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0331,BIRMINGHAM CITY,HAYES K8,100390,100390,1503700200000.0,10039002206,786.0,PK-08,3,786.0,Fall ADA,7922,1714,9683,6172.0,1254.0,7471,1750.0,460.0,2212.0,6226692.0,1347204.0,7610838.0,9701.037032,1015.0,735.0,922.0,5250.0,1938,5984,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0340,BIRMINGHAM CITY,HEMPHILL ELEMENTARY SCHOOL,100390,100390,1503700200000.0,10039000136,485.0,PK-05,2,485.0,Fall ADA,8364,2703,11087,6454.0,1524.0,7996,1910.0,1180.0,3091.0,4056540.0,1310955.0,5377195.0,11104.14636,1140.0,770.0,935.0,5519.0,2075,6289,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-3040,BIRMINGHAM CITY,HOMEBOUND ELEMENTARY SCHOOL,100390,100390,1503700200000.0,10039001764,4.0,PK-07,3,,Fall ADA,902,115,1018,902.0,115.0,1018,,,,,,,1041.533939,,,537.0,365.0,537,365,0,0,0,0,0,1,0
AL,2018-2019,AL-114,AL-114-0370,BIRMINGHAM CITY,HUDSON KEIGHT SCHOOL,100390,100390,1503700200000.0,10039000139,653.0,PK-08,3,653.0,Fall ADA,9160,2759,11971,7019.0,1740.0,8809,2141.0,1019.0,3162.0,5981480.0,1801627.0,7817063.0,11987.58557,1206.0,935.0,1220.0,5799.0,2426,6734,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0395,BIRMINGHAM CITY,HUFFMAN ACADEMY,100390,100390,1503700200000.0,10039002185,820.0,PK-05,2,820.0,Fall ADA,7841,2135,10017,6089.0,1396.0,7522,1752.0,740.0,2495.0,6429620.0,1750700.0,8213940.0,10034.82515,970.0,782.0,602.0,5487.0,1572,6269,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0390,BIRMINGHAM CITY,HUFFMAN HIGH SCHOOLMAGNET,100390,100390,1503700200000.0,10039000141,1151.0,08-12,4,1151.0,Fall ADA,10123,1892,12100,7237.0,1140.0,8459,2886.0,753.0,3641.0,11651573.0,2177692.0,13927100.0,12116.50373,1933.0,953.0,1444.0,5793.0,3377,6746,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0380,BIRMINGHAM CITY,HUFFMAN MIDDLE SCHOOL,100390,100390,1503700200000.0,10039000140,355.0,06-08,3,355.0,Fall ADA,8592,2147,10777,6513.0,1400.0,7948,2078.0,747.0,2829.0,3050160.0,762185.0,3825835.0,10794.34302,1157.0,921.0,1110.0,5403.0,2267,6325,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0400,BIRMINGHAM CITY,INGLENOOK SCHOOL,100390,100390,1503700200000.0,10039000142,444.0,PK-08,3,444.0,Fall ADA,8622,1715,10391,6635.0,1026.0,7712,1986.0,689.0,2678.0,3828168.0,761460.0,4613604.0,10408.58789,1163.0,823.0,928.0,5707.0,2092,6530,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0415,BIRMINGHAM CITY,JACKSONOLIN HIGH SCHOOL,100390,100390,1503700200000.0,10039000164,793.0,08-12,4,793.0,Fall ADA,11366,1886,13381,8227.0,1306.0,9659,3140.0,580.0,3722.0,9013238.0,1495598.0,10611133.0,13396.69109,2065.0,1075.0,1745.0,6482.0,3810,7556,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0857,BIRMINGHAM CITY,JONES VALLEY MIDDLE SCHOOL,100390,100390,1503700200000.0,10039000191,346.0,06-08,3,346.0,Fall ADA,9880,2095,11995,7332.0,1527.0,8878,2548.0,567.0,3118.0,3418480.0,724870.0,4150270.0,12011.57034,1345.0,1203.0,1461.0,5871.0,2806,7074,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0505,BIRMINGHAM CITY,MARTHA GASKINS K5,100390,100390,1503700200000.0,10039001446,490.0,PK-05,2,490.0,Fall ADA,8739,1998,10759,6792.0,1209.0,8020,1947.0,790.0,2739.0,4282110.0,979020.0,5271910.0,10776.35444,1153.0,794.0,882.0,5910.0,2035,6704,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0550,BIRMINGHAM CITY,MINOR ELEMENTARY SCHOOL,100390,100390,1503700200000.0,10039000156,421.0,PK-05,2,421.0,Fall ADA,9978,2301,12293,7701.0,1269.0,8982,2277.0,1033.0,3311.0,4200738.0,968721.0,5175353.0,12309.3813,1314.0,963.0,1202.0,6499.0,2516,7462,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0610,BIRMINGHAM CITY,NORWOOD ELEMENTARY SCHOOL,100390,100390,1503700200000.0,10039000161,321.0,PK-05,2,321.0,Fall ADA,8856,2602,11542,6420.0,1578.0,8079,2436.0,1025.0,3463.0,2842776.0,835242.0,3704982.0,11558.85772,1610.0,826.0,992.0,5428.0,2602,6254,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0250,BIRMINGHAM CITY,OLIVER K5 SCHOOL,100390,100390,1503700200000.0,10039000127,478.0,PK-05,2,478.0,Fall ADA,8165,2412,10625,6101.0,1219.0,7366,2064.0,1193.0,3259.0,3902870.0,1152936.0,5078750.0,10642.43945,1239.0,825.0,982.0,5119.0,2221,5944,0,0,0,0,0,0,0
AL,2018-2019,AL-114,AL-114-0735,BIRMINGHAM CITY,OSSIE WARE MITCHELL MIDDLE SCHOOL,100390,100390,1503700200000.0,10039001823,355.0,06-08,3,355.0,Fall ADA,9198,2367,11618,6790.0,1499.0,8340,2408.0,868.0,3279.0,3265290.0,840285.0,4124390.0,11634.80951,1377.0,1031.0,1689.0,5101.0,3066,6132,0,0,0,0,0,0,0
